,Wind
1775,77810.44
1776,78108.66
1777,95757.03
1778,94532.64
1779,103829.7
1780,96446.64
1781,81374.17
1782,65331.4
1783,38959.97
1784,19470.63
1785,8461.68
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,16829.68
1793,43057.16
1794,82576.05
1795,109964.32
1796,84178.96
1797,57516.27
1798,45203.56
1799,43549.25
1800,60729.61
1801,87021.92
1802,100332.66
1803,86758.31
1804,70352.73
1805,48350.35
1806,27778.19
1807,14219.95
1808,152.27
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,10159.69
1815,21850.54
1816,43265.24
1817,58771.83
1818,114234.73
1819,170469.78
1820,114251.62
1821,78692.55
1822,55014.48
1823,50563.83
1824,28542.37
1825,12545.58
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,7380.6
1840,16387.83
1841,34612.38
1842,62205.21
1843,95724.75
1844,103959.18
1845,107827.55
1846,117277.57
1847,115265.9
1848,117267.89
1849,99792.3
1850,75575.48
1851,59721.2
1852,45144.31
1853,29913.24
1854,13434.76
1855,7449.63
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,4295.06
1862,28935.29
1863,59485.59
1864,110867.11
1865,137607.03
1866,191339.64
1867,210211.48
1868,239732.07
1869,249548.54
1870,218630.74
1871,237778.75
1872,175789.92
1873,180497.23
1874,159790.72
1875,149740.47
1876,146445.12
1877,145457.02
1878,143658.36
1879,123410.84
1880,61706.97
1881,48469.95
1882,41490.79
1883,48354.83
1884,69306.81
1885,104834.19
1886,125767.45
1887,141280.44
1888,155562.29
1889,194240.81
1890,243922.75
1891,259752.97
1892,227540.51
1893,218556.15
1894,180628.3
1895,136599.87
1896,111812.59
1897,92202.71
