,Solar
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,23.49
1760,356.21
1761,388.86
1762,354.93
1763,386.02
1764,444.3
1765,486.54
1766,386.63
1767,207.09
1768,147.31
1769,44.08
1770,-0.0
1771,-0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,94.42
1784,679.88
1785,590.65
1786,653.52
1787,598.57
1788,524.1
1789,317.96
1790,223.6
1791,160.33
1792,50.73
1793,3.02
1794,-0.0
1795,-0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,4.62
1808,22.43
1809,106.13
1810,135.45
1811,85.71
1812,68.12
1813,53.26
1814,65.91
1815,79.24
1816,46.9
1817,10.26
1818,-0.0
1819,-0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,32.1
1832,234.06
1833,170.87
1834,140.74
1835,225.13
1836,162.21
1837,121.09
1838,211.55
1839,178.16
1840,89.5
1841,27.76
1842,-0.0
1843,-0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,9.46
1856,208.08
1857,289.19
1858,449.36
1859,338.35
1860,160.4
1861,189.78
1862,242.18
1863,253.91
1864,152.41
1865,40.46
1866,-0.0
1867,-0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,76.2
1880,527.81
1881,664.67
1882,769.23
1883,588.84
1884,165.89
1885,135.51
1886,181.32
1887,167.06
1888,59.27
1889,15.01
1890,-0.0
1891,-0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,17.78
1904,316.97
1905,246.85
1906,292.35
1907,132.62
1908,104.33
1909,77.61
1910,59.0
1911,43.38
1912,24.99
1913,10.23
1914,-0.0
1915,-0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,47.28
1928,453.81
1929,634.75
1930,633.67
1931,596.1
1932,646.27
1933,521.23
1934,404.33
1935,261.91
1936,124.05
1937,22.43
1938,-0.0
1939,-0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,97.3
1953,101.39
1954,82.12
1955,102.9
1956,163.91
1957,182.62
1958,103.99
1959,52.68
1960,29.78
1961,6.31
1962,-0.0
1963,-0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,316.36
1977,442.73
1978,701.61
1979,727.32
1980,625.21
1981,565.92
1982,493.35
1983,451.85
1984,338.08
1985,98.03
1986,-0.0
1987,-0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,632.23
2001,769.23
2002,769.23
2003,769.23
2004,769.23
2005,769.23
2006,754.84
2007,689.45
2008,507.21
2009,185.85
2010,-0.0
2011,-0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,676.43
2025,769.23
2026,769.23
2027,769.23
2028,751.95
2029,640.75
2030,627.59
2031,607.65
2032,475.18
2033,174.58
2034,-0.0
2035,-0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,635.76
2049,769.23
2050,769.23
2051,769.23
2052,769.23
2053,746.43
2054,674.37
2055,627.2
2056,353.93
2057,136.39
2058,-0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,769.23
2073,769.23
2074,769.23
2075,769.23
2076,769.23
2077,769.23
2078,748.85
2079,635.78
2080,261.85
2081,97.96
2082,-0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
